V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	accession
1e-05	1.2e-05	1e-05	0.999901	1e-05	1.4e-05	1e-05	1.3e-05	1e-05	1e-05	CAMPUB_253
1e-05	1.4e-05	1e-05	0.9999	1e-05	1.4e-05	1e-05	1.2e-05	1e-05	1e-05	CAMPUB_063
1e-05	1.4e-05	1e-05	0.999898	1e-05	1.6e-05	1e-05	1.2e-05	1e-05	1e-05	CAMPUB_240
1e-05	0.114182	0.224772	1e-05	1e-05	1e-05	0.046731	0.43942	0.031158	0.143696	CAMPUB_154
0.341067	1e-05	0.04448	0.052852	1e-05	0.021808	1e-05	0.539744	1e-05	1e-05	CAMPUB_147
1e-05	1e-05	1e-05	1e-05	0.300162	1e-05	0.039308	0.495339	0.16513	1e-05	CAMPUB_078
0.442889	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.557031	1e-05	1e-05	CAMPUB_149
1e-05	0.535208	1e-05	1.3e-05	1.4e-05	1e-05	1e-05	0.464704	1e-05	1e-05	CAMPUB_210
1e-05	0.201734	1e-05	1e-05	0.043368	1e-05	1e-05	0.613414	0.141424	1e-05	CAMPUB_161
1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.999907	1e-05	1e-05	CAMPUB_138
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	CAMPUB_243
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	CAMPUB_145
1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	0.999908	1e-05	1e-05	CAMPUB_180
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	CAMPUB_116
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	CAMPUB_174
1e-05	1e-05	1e-05	0.427935	1e-05	1e-05	1e-05	0.571985	1e-05	1e-05	CAMPUB_193
0.072798	0.0299	1e-05	0.422252	1e-05	1e-05	1e-05	0.430044	0.044956	1e-05	CAMPUB_194
0.00975	1e-05	0.172808	0.194995	1.1e-05	1e-05	1e-05	0.49631	0.126087	1e-05	CAMPUB_085
1e-05	1e-05	0.478926	1e-05	1e-05	1e-05	1e-05	0.520994	1e-05	1e-05	CAMPUB_091
0.292631	0.453279	0.026806	0.015211	0.025324	1.6e-05	1e-05	0.088548	0.018389	0.079786	CAMPUB_074
0.607785	0.392127	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	CAMPUB_152
0.186522	0.496405	0.043373	1e-05	0.139164	1e-05	1e-05	0.071285	0.063211	1e-05	CAMPUB_110
0.300977	0.492923	0.015111	1e-05	0.078818	1e-05	0.006768	0.053372	1e-05	0.052001	CAMPUB_123
