V1	V2	V3	accession
0.574132	0.425858	1e-05	CAMPUB_008
0.419284	0.580706	1e-05	CAMPUB_040
0.593966	0.140432	0.265602	CAMPUB_096
0.526495	0.189325	0.28418	CAMPUB_158
0.157815	0.842175	1e-05	CAMPUB_203
0.636058	0.354235	0.009707	CAMPUB_209
0.570043	0.399276	0.030681	CAMPUB_098
0.886448	0.113542	1e-05	CAMPUB_099
0.745665	0.220943	0.033392	CAMPUB_237
0.552989	0.143451	0.30356	CAMPUB_084
0.673513	0.292011	0.034475	CAMPUB_251
0.531434	0.396984	0.071582	CAMPUB_271
0.364993	0.612286	0.022721	CAMPUB_152
0.647338	0.309075	0.043588	CAMPUB_074
0.620184	0.342913	0.036903	CAMPUB_123
0.412868	0.483896	0.103236	CAMPUB_029
0.403578	0.49546	0.100962	CAMPUB_030
0.378194	0.580218	0.041589	CAMPUB_259
0.424506	0.505653	0.069841	CAMPUB_261
0.669019	0.330971	1e-05	CAMPUB_175
0.530217	0.469773	1e-05	UNT_038_new
0.492136	0.330464	0.1774	UNT_035_reseq
0.457783	0.488651	0.053566	UNT_042_reseq
