V1	V2	V3	V4	accession
1e-05	1e-05	1e-05	0.99997	CAMPUB_070
1e-05	1e-05	1e-05	0.99997	CAMPUB_081
1e-05	1e-05	1e-05	0.99997	CAMPUB_269
1e-05	1e-05	1e-05	0.99997	CAMPUB_061
1e-05	1e-05	1e-05	0.99997	CAMPUB_137
1e-05	0.132576	1e-05	0.867404	CAMPUB_153
0.0011	0.209719	0.003539	0.785642	CAMPUB_272
0.480737	0.10611	0.052728	0.360425	CAMPUB_259
0.319472	0.335154	0.049353	0.29602	CAMPUB_261
1e-05	0.13372	0.364362	0.501908	CAMPUB_200
0.378427	0.054111	0.25304	0.314421	CAMPUB_134
0.398985	1e-05	0.474479	0.126526	CAMPUB_165
0.25438	0.10614	0.414661	0.22482	CAMPUB_087
1e-05	1e-05	0.481206	0.518774	CAMPUB_198
1e-05	1e-05	0.549017	0.450963	CAMPUB_089
1e-05	0.035572	0.508194	0.456224	CAMPUB_112
1e-05	1e-05	0.584153	0.415827	CAMPUB_092
1e-05	1e-05	0.550814	0.449166	CAMPUB_114
0.37748	0.063266	0.559245	1e-05	CAMPUB_199
0.29175	1e-05	0.561794	0.146446	CAMPUB_250
0.003691	1e-05	0.589151	0.407147	CAMPUB_232
0.005663	1e-05	0.627293	0.367034	CAMPUB_095
0.376144	1e-05	0.587659	0.036186	CAMPUB_088
0.447828	1.2e-05	0.55215	1e-05	CAMPUB_090
1e-05	1e-05	0.660023	0.339957	CAMPUB_119
1e-05	0.301441	0.698539	1e-05	CAMPUB_086
1e-05	0.105169	0.894811	1e-05	CAMPUB_231
0.042673	1e-05	0.759023	0.198294	CAMPUB_235
1e-05	1e-05	0.99997	1e-05	CAMPUB_028
1e-05	1e-05	0.99997	1e-05	CAMPUB_033
1e-05	1.3e-05	0.999967	1e-05	CAMPUB_170
1e-05	1e-05	0.99997	1e-05	CAMPUB_241
1e-05	1e-05	0.99997	1e-05	CAMPUB_073
1e-05	1e-05	0.99997	1e-05	CAMPUB_228
1e-05	1e-05	0.99997	1e-05	CAMPUB_234
1e-05	1.1e-05	0.999969	1e-05	CAMPUB_104
1e-05	1e-05	0.99997	1e-05	CAMPUB_108
1e-05	1e-05	0.99997	1e-05	CAMPUB_083
1e-05	1e-05	0.99997	1e-05	CAMPUB_239
1e-05	0.126742	0.355932	0.517316	CAMPUB_151
1e-05	0.038245	0.563222	0.398523	CAMPUB_230
1e-05	0.057475	0.392455	0.550059	CAMPUB_214
1e-05	1e-05	0.496276	0.503704	CAMPUB_247
0.208947	0.016294	0.31114	0.463619	CAMPUB_156
0.210157	1e-05	0.281843	0.50799	CAMPUB_158
0.260563	0.141073	0.168396	0.429968	CAMPUB_079
0.536219	2.4e-05	1e-05	0.463747	CAMPUB_255
0.763105	1e-05	0.004539	0.232346	CAMPUB_056
0.504142	0.019983	1e-05	0.475865	CAMPUB_223
0.628081	1e-05	1e-05	0.371899	CAMPUB_225
0.848105	1e-05	0.026993	0.124892	CAMPUB_218
0.621924	1e-05	0.038837	0.339229	CAMPUB_025
0.817893	0.012729	1e-05	0.169368	CAMPUB_111
0.855037	1e-05	1e-05	0.144943	CAMPUB_007
0.756344	1e-05	1e-05	0.243636	CAMPUB_252
0.792025	0.033756	1e-05	0.174209	CAMPUB_197
0.780076	0.109434	1e-05	0.11048	CAMPUB_244
0.99997	1e-05	1e-05	1e-05	CAMPUB_278
0.562587	0.437393	1e-05	1e-05	UNT_057
0.63668	0.128071	1e-05	0.23524	CAMPUB_216
0.699746	1e-05	0.028043	0.272201	CAMPUB_257
0.900487	1e-05	0.052081	0.047422	CAMPUB_035
0.99997	1e-05	1e-05	1e-05	CAMPUB_204
0.99997	1e-05	1e-05	1e-05	CAMPUB_055
0.99997	1e-05	1e-05	1e-05	CAMPUB_173
0.635759	0.020464	0.048223	0.295554	CAMPUB_124
0.657696	1e-05	0.16765	0.174644	CAMPUB_207
0.779786	1e-05	0.158815	0.061389	CAMPUB_160
0.833748	1e-05	0.140599	0.025643	CAMPUB_171
0.82612	1e-05	0.158811	0.015059	CAMPUB_262
0.683295	0.121565	0.107772	0.087368	CAMPUB_041
0.790211	0.07359	0.13619	1e-05	CAMPUB_120
