V1	V2	V3	V4	V5	V6	accession
1e-05	0.273539	0.224895	0.112539	0.389007	1e-05	CAMPUB_087
1e-05	0.55751	1e-05	1e-05	0.44245	1e-05	CAMPUB_198
1e-05	1e-05	1e-05	1e-05	0.549245	0.450715	CAMPUB_089
1e-05	1e-05	1e-05	0.051473	0.502918	0.445578	CAMPUB_112
1e-05	1e-05	1e-05	1e-05	0.591219	0.408741	CAMPUB_092
1e-05	1e-05	1e-05	1e-05	0.560807	0.439153	CAMPUB_114
0.005536	1e-05	0.371193	0.06753	0.555721	1e-05	CAMPUB_199
0.005401	1e-05	0.291212	1e-05	0.562403	0.140964	CAMPUB_250
1e-05	0.466146	1e-05	1e-05	0.533814	1e-05	CAMPUB_232
1e-05	0.411253	1e-05	1e-05	0.588707	1e-05	CAMPUB_095
1e-05	1e-05	0.36299	1e-05	0.585655	0.051325	CAMPUB_088
1e-05	1e-05	0.450819	1e-05	0.549141	1e-05	CAMPUB_090
1e-05	1e-05	1e-05	1e-05	0.67046	0.3295	CAMPUB_119
0.055657	1e-05	1e-05	0.258684	0.6764	0.00924	CAMPUB_086
1e-05	1e-05	1e-05	0.135701	0.864259	1e-05	CAMPUB_231
1e-05	0.27853	1e-05	1e-05	0.72143	1e-05	CAMPUB_235
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_028
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_033
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_170
1e-05	1e-05	1e-05	1.3e-05	0.999947	1e-05	CAMPUB_241
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_073
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_228
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_234
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_104
1e-05	1e-05	1.5e-05	1e-05	0.999945	1e-05	CAMPUB_108
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_083
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	CAMPUB_239
1e-05	1e-05	1e-05	0.145489	0.338668	0.515813	CAMPUB_151
1e-05	1e-05	1e-05	0.052483	0.549984	0.397502	CAMPUB_230
1e-05	1e-05	1e-05	0.071648	0.389358	0.538965	CAMPUB_214
1e-05	1e-05	1e-05	0.006197	0.502731	0.491041	CAMPUB_247
0.105314	0.007713	0.230694	1e-05	0.321147	0.335122	CAMPUB_156
0.00945	1e-05	0.219002	1e-05	0.290953	0.480575	CAMPUB_158
0.043072	0.004663	0.257726	0.126138	0.167565	0.400835	CAMPUB_079
1e-05	0.020878	0.529048	0.019503	1e-05	0.430551	CAMPUB_255
0.004729	1e-05	0.768409	1e-05	0.007249	0.219594	CAMPUB_056
0.053169	1.1e-05	0.51895	1e-05	1e-05	0.42785	CAMPUB_223
0.020177	0.030193	0.638929	1e-05	1e-05	0.310681	CAMPUB_225
1e-05	1e-05	0.844027	1e-05	0.026634	0.129308	CAMPUB_218
1e-05	1e-05	0.60552	1e-05	0.042913	0.351536	CAMPUB_025
0.020256	1e-05	0.806167	1e-05	1e-05	0.173547	CAMPUB_111
1e-05	0.01601	0.866964	1e-05	1e-05	0.116996	CAMPUB_007
1e-05	1e-05	0.766891	1e-05	1e-05	0.233069	CAMPUB_252
0.051886	1e-05	0.803045	1e-05	1e-05	0.145039	CAMPUB_197
0.082943	1e-05	0.80971	0.041316	1e-05	0.06601	CAMPUB_244
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	CAMPUB_278
1e-05	1e-05	0.54184	0.45812	1e-05	1e-05	UNT_057
0.004016	1e-05	0.601351	0.13237	1e-05	0.262243	CAMPUB_216
1e-05	0.313288	0.686672	1e-05	1e-05	1e-05	CAMPUB_257
1e-05	1e-05	0.876805	0.005296	0.052168	0.065712	CAMPUB_035
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	CAMPUB_204
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	CAMPUB_055
1.1e-05	1e-05	0.999949	1e-05	1e-05	1e-05	CAMPUB_173
0.014787	1e-05	0.635281	0.021444	0.049105	0.279372	CAMPUB_124
0.005602	0.008025	0.665703	1e-05	0.168228	0.152432	CAMPUB_207
1e-05	1e-05	0.749206	1e-05	0.162417	0.088347	CAMPUB_160
1e-05	1e-05	0.7832	0.001848	0.139147	0.075785	CAMPUB_171
1e-05	1e-05	0.779876	1e-05	0.156771	0.063324	CAMPUB_262
1e-05	0.112357	0.658878	0.132583	0.096162	1e-05	CAMPUB_041
1e-05	1e-05	0.761717	0.088093	0.129267	0.020903	CAMPUB_120
