V1	V2	V3	V4	V5	accession
1e-05	1e-05	1e-05	0.378208	0.621762	CAMPUB_193
1e-05	0.160398	1.9e-05	1e-05	0.839562	CAMPUB_161
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_210
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_116
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_174
1e-05	1e-05	1e-05	1e-05	0.99996	UNT_020_new
1e-05	1.1e-05	1e-05	1e-05	0.999959	UNT_001_reseq
1e-05	1e-05	1e-05	1e-05	0.99996	UNT_022_reseq
1e-05	1.1e-05	1e-05	1e-05	0.999958	UNT_023_reseq
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_243
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_138
1e-05	1.1e-05	1e-05	1e-05	0.999959	CAMPUB_145
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_180
0.002341	0.157145	0.178738	0.16085	0.500926	CAMPUB_085
1e-05	1e-05	0.477005	1e-05	0.522965	CAMPUB_091
1e-05	1e-05	1e-05	0.504514	0.495456	CAMPUB_162
1e-05	1e-05	1e-05	0.518422	0.481548	CAMPUB_192
1e-05	1e-05	1e-05	0.53568	0.46429	CAMPUB_258
1e-05	1e-05	1e-05	0.544944	0.455026	CAMPUB_195
1e-05	1e-05	1e-05	0.452173	0.547797	CAMPUB_246
1e-05	1e-05	0.396705	1e-05	0.603265	CAMPUB_214
0.105358	0.015248	0.029161	0.023301	0.826932	CAMPUB_080
1e-05	0.154832	1e-05	1e-05	0.845138	CAMPUB_201
1e-05	0.196682	1e-05	1e-05	0.803288	CAMPUB_206
0.06404	0.149251	0.03396	1e-05	0.752738	CAMPUB_146
1e-05	1e-05	1e-05	0.005475	0.994495	CAMPUB_058
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_159
1e-05	1e-05	1e-05	0.031508	0.968462	UNT_053_reseq
0.009016	0.029586	0.003752	0.556839	0.400807	UNT_032_reseq
1e-05	1e-05	1e-05	0.146595	0.853375	UNT_033_reseq
0.061119	0.10183	0.034025	0.081019	0.722006	CAMPUB_072
0.221807	0.085744	0.012528	0.048938	0.630983	CAMPUB_150
1e-05	1e-05	1e-05	0.04994	0.95003	CAMPUB_153
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_155
1e-05	1e-05	1e-05	0.559464	0.440506	CAMPUB_167
1.1e-05	1e-05	1e-05	0.314766	0.685203	UNT_055_reseq
1e-05	1e-05	1e-05	0.581855	0.418115	CAMPUB_248
0.050122	0.013636	0.011248	0.144263	0.780732	CAMPUB_272
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_264
1e-05	1e-05	1e-05	0.412704	0.587266	CAMPUB_070
1e-05	1e-05	1e-05	0.386264	0.613706	CAMPUB_081
1e-05	1e-05	1e-05	0.167661	0.832309	CAMPUB_269
1e-05	1e-05	1e-05	0.013724	0.986246	CAMPUB_061
1e-05	1e-05	1e-05	0.007839	0.992131	CAMPUB_137
0.036723	0.007861	1e-05	0.070555	0.884852	UNT_021_new
